rc_seg_ids,mics_ids
5EB8EFA0-755C-1DBE-141C-54718B015AD9-2,18866
1AF953B7-85EA-45A4-1666-7FEAE12B8C29-3,18867
18C551FF-5E51-2252-2CAC-142A1F889755-2,18868
BA0E50DB-0D54-3FFC-25AD-37BC9863734F,18869
434AA506-210A-5578-5C3B-23F6AB3A4F79-2,18870
75B1713D-85C5-9792-294D-DF6223B59F06,18871
6E651330-92B7-19B8-4BC4-6F747A810E50-0,18872
D4EE55E6-225E-97F1-0CE1-AD7764BB402E,18873
13C03A76-7F21-0E4A-6C24-2E7CC47E9081-1,18874
703965A0-8B3F-1FD1-1A66-76A885C514AC,18875
5ABDDA31-6C5B-96DC-0758-5C76C9E37CE4-0,18876
53395183-8363-5550-2500-03F43A983450-3,18877
214646B2-63C2-6B84-A48F-D85C5F9B29D6,18878
5039D1D5-03FE-A04F-18D4-43AA57875E50-1,18879
226D6675-0E42-79EA-7CDC-638D56525A72-2,18880
0FAAEA44-2FEA-733D-9AE7-534E8654187F-3,18881
02353071-4BA7-17EE-88CD-E61C79E78E20,18882
033AFA3A-79F1-40A3-1961-1FB5EE589E51-1,18883
5FEC93E3-994F-3105-760D-3B5521C16E7F-1,18884
093DDFBE-1FE0-36DC-9882-7E1C004C7077-2,18885
B7AF3405-7C17-8413-7724-AFB8980557AA,18886
55BB32A5-2F08-A7BB-3276-3108E1439FB7-0,18887
79F2D143-36D5-094D-4781-559271E93F33-2,18888
BCFE08FA-6E93-17A5-9F8C-319C26AE14F9,18889
2636B7A1-9BFA-323D-72B2-6E425D3D6270-2,18890
5C71B2E3-508A-3FC4-9672-13631250409A-2,18891
E284580F-23AF-6842-7423-11B8078D0BCA,18892
26CE6939-54A6-1AFF-764A-32C58E545F3D-3,18893
4BF95B4A-47D4-A1AC-28AA-70F44D9E1C8E-2,18894
27EBCCE8-489F-5002-787E-17F0D1F85A22-1,18895
40847BF9-86D0-0C0A-24C1-720CBBBB23FF-1,18896
08D04966-54A9-76A1-8D88-013B08B70D48-1,18897
65E73C5C-85C7-268E-7EB3-24DAB2A61557-0,18898
2DAE03B1-640A-7864-040A-6F8BA05B4367-2,18899
25F684D1-2FD5-2D7D-8459-31B8DF936760-2,18900
54DF9284-A5E7-90F8-19E9-7DE7F1BF3C1B-0,18901
2D73F768-4BCF-8C13-1F64-0CA4D03F49AB,18902
5E2E704C-98EB-21EC-3759-1EC7903C99F9-2,18903
45E8AB80-720A-7A85-0B79-63D7897008A6-3,18904
5748A654-7511-27D8-5A19-0FF00AB58396,18905
50DCF317-8AB0-8609-A09B-258276F12833-2,18906
5A80B877-8AAC-8C1E-7CD1-4682E7C68498-2,18907
36DD97AE-025B-9A5E-55D2-653EBA181E70-1,18908
8E0242AD-15C5-4958-A29B-967CB8CD6116,18909
39B84197-58F0-2078-23F7-05C4F6009939-2,18910
293CE2A6-38DD-73B0-44D0-7D475F0A2B1A-1,18911
771945CB-6EC9-2D42-94E8-6D4CB3049029-0,18912
EB0DE04C-902E-9741-4441-0B5F03672094,18913
DEB9EFE7-5820-4A4C-9AB1-8CD9BFEE5B16,18914
8A648B57-8BF3-7527-368E-56A676101A40,18915
1D712C0B-7000-979B-0A0F-547E4A5FA3C8-2,18916
CDB2BDDA-28E9-05C0-9F59-7C331DEB470C,18917
44F83647-3E7E-461F-3756-604E85F1863C-0,18918
6C35B84B-170E-8507-06C8-30D2D46027A2-2,18919
472DDB0C-991A-15AA-7FD9-5679FB5782FE-1,18920
25F684D1-2FD5-2D7D-8459-31B8DF936760-3,18921
4E9DF172-1B55-6A3E-5445-1134B0C095C6,18922
74E47CEC-3CEA-7EE0-3338-680EE3349510,18923
70D097E9-1F16-0DFB-1C13-0233A5BD1829-2,18924
286CED82-8E98-144B-32FC-4D5FAAAA2ABE,18925
245E1190-3484-58B4-7F6A-626A0C343C7A-1,18926
308634A2-7F95-023D-702B-4773ED40781D-1,18927
501688F4-6BF8-8935-1F1C-2E0A6ECE34A1-0,18928
15FEA765-1CE9-7B67-7AC1-61EF9063617E-1,18929
50EA01D4-317A-3A6D-21E4-4A5E336C9FE8-2,18930
7C329702-A3FA-69CB-6EE2-5730FBA8256B-1,18931
7752A24C-1AB4-43F2-885A-2EBCE0988C5D-3,18932
3BC22738-2F56-08D7-0C06-41103A480EA3-0,18933
D46BBB5A-2CF2-8879-37B7-64195C096900,18934
7AE3B99F-4B0F-3B11-952E-97DAB31F1F11,18935
17BC9AE8-94E8-09D0-A157-65D091EFA635-2,18936
767B7DD8-7AF2-8A55-8848-031A4DF331B5-2,18937
7DDAB282-86B7-44C4-410B-433E1FF1A3CA-3,18938
5F698FF2-1959-8713-2E35-4DB117E83919-3,18940
79B2BA3A-8542-0A55-8758-111E5B8251AA-3,18941
C89024DE-3E5C-16AD-2281-1229ACE2014C,18942
473FC9C1-10D9-5931-892B-46C5A4E55D2D-3,18943
140C5CEC-28B8-9672-31F6-65A1FE431599-1,18944
5F0D0FF2-230A-04DD-3EC4-A2645FD1A38E,18945
F92089EE-0443-43A1-129C-B7981F1C0F42,18946
4943D78C-0201-A10E-1250-178EF2A786C3-2,18947
39C639A1-58F4-34FE-9914-322F718751A2-0,18948
3A0F9B31-5891-0BF4-22C3-1D0E327828DE-2,18949
3E5D515A-2A3A-562F-82F1-17F702E6359B-2,18950
0E419E56-2ECF-8D75-27CA-25DA04A76BE1-2,18951
2DD6F862-1C6F-44A7-990D-6CE287A811AF-3,18952
BAEF0DE6-1E00-7A58-A00C-CCC092A2785C,18953
87A6D235-3BEB-7305-7783-4D5C51AF3D2A,18954
